host_index,hostname,seed,gpu,arm,endpoint_seconds_median,ready_arrays_to_consumer_seconds_median,correction_seconds_median,audit_seconds_median,release_verifier_seconds_median,logical_mask_seconds_median,compaction_seconds_median,synchronization_seconds_median,consumer_seconds_median,unclassified_overhead_seconds_median,gpu_energy_joules_median,peak_memory_allocated_bytes_median,peak_memory_reserved_bytes_median,physical_candidate_slots_median,logical_live_candidate_slots_median,frozen_but_computed_slots_median,audit_events_median,screen_pass_candidate_count_median,release_verifier_candidate_count_median,release_verified_candidate_count_median,compaction_events_median,logical_mask_applications_median
0,t-20260823121700-5rtng-worker-0,1884470933,3,fw,3.89809550344944,3.89809550344944,1.7130844497680664,0.6411990337073803,0.10453847795724869,0.0,0.0,3.7103891372680664e-05,1.858448501676321,0.0,979.494,84738048.0,272629760.0,256.0,256.0,0.0,8.0,33.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,1884470933,3,lm,3.9006858579814434,3.9006858579814434,1.7135289916992187,0.6408953629434109,0.10501490160822868,0.0003076480021700263,0.0,4.638358950614929e-05,1.8589505553245544,0.0,964.697,84738048.0,274726912.0,256.0,156.0,100.0,8.0,8.0,8.0,8.0,0.0,20.0
0,t-20260823121700-5rtng-worker-0,1884470933,3,pc,3.185326300561428,3.185326300561428,1.0754074201583863,0.4019113667309284,0.10518937557935715,0.0,0.0036127040386199952,5.112960934638977e-05,1.8586548008024693,0.0,749.529,112134144.0,270532608.0,156.0,156.0,0.0,8.0,8.0,8.0,8.0,5.0,0.0
0,t-20260823121700-5rtng-worker-0,55048408,0,official,45.2820116057992,45.2820116057992,,,,,,,1.8578302711248398,,12541.027,304039424.0,524288000.0,,,,,,,,,
0,t-20260823121700-5rtng-worker-0,55048408,0,w1,3.5415879376232624,3.5415879376232624,1.383716799736023,0.5135768987238407,0.10515302792191505,0.0,0.0,0.0003513917326927185,1.859300822019577,0.0,804.858,62822912.0,268435456.0,156.0,156.0,0.0,39.0,8.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,55048408,0,fw,3.8912576101720333,3.8912576101720333,1.70633642578125,0.6384912244975567,0.10495413839817047,0.0,0.0,5.2150338888168335e-05,1.8575915768742561,0.0,953.474,84738048.0,272629760.0,256.0,256.0,0.0,8.0,33.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,55048408,0,lm,3.8865180499851704,3.8865180499851704,1.7047267799377441,0.637951698154211,0.10452336445450783,0.00030675200093537567,0.0,3.296509385108948e-05,1.8563197553157806,0.0,955.572,84738048.0,274726912.0,256.0,156.0,100.0,8.0,8.0,8.0,8.0,0.0,20.0
0,t-20260823121700-5rtng-worker-0,55048408,0,pc,3.177441343665123,3.177441343665123,1.070714982032776,0.4003535062074661,0.10479887947440147,0.0,0.003603487968444824,4.579499363899231e-05,1.8573117330670357,0.0,745.818,112134144.0,270532608.0,156.0,156.0,0.0,8.0,8.0,8.0,8.0,5.0,0.0
0,t-20260823121700-5rtng-worker-0,55048408,1,official,45.10434861108661,45.10434861108661,,,,,,,1.8533284701406956,,11404.327,304039424.0,524288000.0,,,,,,,,,
0,t-20260823121700-5rtng-worker-0,55048408,1,w1,3.537040151655674,3.537040151655674,1.382268575668335,0.513011384755373,0.1049470603466034,0.0,0.0,0.0003521479666233063,1.8564658053219318,0.0,730.008,62822912.0,268435456.0,156.0,156.0,0.0,39.0,8.0,8.0,8.0,0.0,0.0
