host_index,hostname,seed,gpu,lm_seconds,pc_seconds,lm_over_pc,fw_over_lm,w1_over_fw,official_over_pc,pc_win
0,t-20260823121700-5rtng-worker-0,1884470933,0,3.888550531119108,3.1778970174491405,1.2236238335502767,1.0004325649140164,0.908484373547873,14.188404509325183,1
0,t-20260823121700-5rtng-worker-0,1884470933,1,3.8933120891451836,3.181785508990288,1.2236249357929512,1.0023080701004126,0.904757758941759,14.168507935316601,1
0,t-20260823121700-5rtng-worker-0,1884470933,2,3.8955309577286243,3.1864478699862957,1.2225308922895946,1.0010673830576478,0.9059288558580645,14.18449368356087,1
0,t-20260823121700-5rtng-worker-0,1884470933,3,3.9006858579814434,3.185326300561428,1.2245796787895575,0.9993359233154592,0.9066903632266303,14.2291884281933,1
0,t-20260823121700-5rtng-worker-0,55048408,0,3.8865180499851704,3.177441343665123,1.2231596525719464,1.001219487501642,0.9101396752467098,14.25109284741892,1
0,t-20260823121700-5rtng-worker-0,55048408,1,3.900870341807604,3.181685023009777,1.2260391313397514,1.0001468907581537,0.906597851138662,14.176245695250898,1
0,t-20260823121700-5rtng-worker-0,55048408,2,3.90314968675375,3.1847174800932407,1.2255874221657725,1.0001115931240006,0.9045168396512236,14.218104384756314,1
0,t-20260823121700-5rtng-worker-0,55048408,3,3.8986759297549725,3.183419708162546,1.224681721910074,0.9997534405784212,0.9110613089505066,14.225297728561426,1
0,t-20260823121700-5rtng-worker-0,979986572,0,3.8950307071208954,3.1781186126172543,1.2255775135822409,1.0006154494495654,0.9064707817768629,14.183129853314291,1
0,t-20260823121700-5rtng-worker-0,979986572,1,3.8944429717957973,3.1832260452210903,1.2234264599720908,1.0002902401871732,0.9051627845492314,14.173912697836332,1
0,t-20260823121700-5rtng-worker-0,979986572,2,3.9005650021135807,3.183417234569788,1.2252760837492636,0.9987652461029449,0.9076081497610033,14.228086247368864,1
0,t-20260823121700-5rtng-worker-0,979986572,3,3.900745466351509,3.188279911875725,1.223463928565992,1.0006435756254837,0.9076498154143275,14.23148921113939,1
1,t-20260823121700-5rtng-worker-1,1884470933,0,3.8849534522742033,3.1725659258663654,1.2245461695845765,0.9997712040242661,0.9077085610704663,14.180887462450633,1
1,t-20260823121700-5rtng-worker-1,1884470933,1,3.885312542319298,3.1749983485788107,1.2237211222671776,0.9995449379820414,0.9074169943568408,14.168382587212278,1
1,t-20260823121700-5rtng-worker-1,1884470933,2,3.8855649307370186,3.1732815857976675,1.2244626975832353,1.0000159435541864,0.9072612284086528,14.177622907369233,1
1,t-20260823121700-5rtng-worker-1,1884470933,3,3.884579500183463,3.1721409242600203,1.224592347229856,0.9996383320142068,0.907832068051668,14.187976563593406,1
1,t-20260823121700-5rtng-worker-1,55048408,0,3.885715940967202,3.173535533249378,1.2244122998643798,0.9997281983474742,0.9076315624237303,14.17638063493914,1
1,t-20260823121700-5rtng-worker-1,55048408,1,3.885165713727474,3.1726012732833624,1.2245994308974952,0.9994685656584326,0.9079078563310446,14.183083366906697,1
1,t-20260823121700-5rtng-worker-1,55048408,2,3.885715888813138,3.17223497107625,1.2249142715600363,1.0000689056527248,0.9067997330945762,14.180732906111373,1
1,t-20260823121700-5rtng-worker-1,55048408,3,3.8827443793416023,3.1719822231680155,1.2240750755102636,1.0000878662235269,0.9078493589262001,14.204240748378044,1
1,t-20260823121700-5rtng-worker-1,979986572,0,3.886657128110528,3.172979572787881,1.2249234635619124,0.9992497914668189,0.9076827574178576,14.183621501724355,1
1,t-20260823121700-5rtng-worker-1,979986572,1,3.8843012135475874,3.173765640705824,1.2238777695897374,0.999984557164574,0.9073322381330763,14.17352778752439,1
1,t-20260823121700-5rtng-worker-1,979986572,2,3.886202584952116,3.1722655836492777,1.2250558733110697,0.9994575743393709,0.907706915886929,14.176432418328144,1
1,t-20260823121700-5rtng-worker-1,979986572,3,3.884151589125395,3.174560194835067,1.223524315413775,0.9999596885419385,0.9077266526080738,14.176151135281932,1
